sales_id,order_date,customer_id,product_id,order_id,quantity,unit_price,discount_amount,net_sales_amount,sales_channel,payment_mode
1,2023-06-18,13,6,ORD1001,10,277,10,2760,Online,Card
2,2023-05-19,2,17,ORD1002,2,299,50,548,Retail Store,Cash
3,2023-02-20,18,2,ORD1003,10,140,10,1390,Online,Cash
4,2023-05-02,17,11,ORD1004,10,22,30,190,Online,UPI
5,2023-06-18,19,18,ORD1005,7,104,0,728,Retail Store,Cash
6,2023-05-12,11,8,ORD1006,2,446,50,842,Distributor,Net Banking
7,2023-05-26,5,11,ORD1007,1,520,50,470,Distributor,Net Banking
8,2023-03-07,5,13,ORD1008,9,488,20,4372,Distributor,UPI
9,2023-01-28,8,17,ORD1009,4,194,10,766,Online,Card
10,2023-02-23,1,4,ORD1010,1,47,50,-3,Retail Store,Net Banking
11,2023-01-03,19,11,ORD1011,3,584,50,1702,Retail Store,Cash
12,2023-03-16,12,6,ORD1012,2,253,10,496,Retail Store,Cash
13,2023-01-15,10,2,ORD1013,6,43,10,248,Distributor,UPI
14,2023-03-26,19,9,ORD1014,5,58,0,290,Distributor,Cash
15,2023-03-01,2,8,ORD1015,7,315,30,2175,Online,UPI
16,2023-02-05,9,6,ORD1016,8,538,20,4284,Online,Cash
17,2023-02-22,20,9,ORD1017,6,481,0,2886,Online,UPI
18,2023-06-14,9,14,ORD1018,5,145,20,705,Retail Store,Net Banking
19,2023-04-23,17,16,ORD1019,5,697,10,3475,Retail Store,UPI
20,2023-06-13,5,4,ORD1020,2,440,0,880,Online,Cash
21,2023-06-04,19,19,ORD1021,6,110,0,660,Retail Store,Cash
22,2023-02-28,2,1,ORD1022,10,518,50,5130,Retail Store,Net Banking
23,2023-01-19,1,5,ORD1023,1,127,50,77,Distributor,Net Banking
24,2023-02-04,14,10,ORD1024,9,544,50,4846,Retail Store,Net Banking
25,2023-04-04,7,12,ORD1025,6,163,0,978,Distributor,Card
26,2023-02-22,13,2,ORD1026,10,548,0,5480,Distributor,Net Banking
27,2023-03-26,19,1,ORD1027,6,51,30,276,Retail Store,Net Banking
28,2023-01-08,14,7,ORD1028,6,67,30,372,Online,Cash
29,2023-06-02,19,14,ORD1029,4,483,20,1912,Retail Store,Net Banking
30,2023-03-11,18,14,ORD1030,10,451,50,4460,Retail Store,UPI
